施設ID, カテゴリID, カテゴリ名, 施設名, よみ, 住所, 郵便番号, 電話, FAX, メールアドレス, 緯度, 経度, URL, 最終更新日, 開館時間, 休館日, 入場料, 説明, 末尾ダミー
"118","44","スポーツ施設","市民野球場","しみんやきゅうじょう","野々市市下林3-97","","076-248-1223","","","36.5237713800","136.5989648000","","1383445218","月~土日の出~21:00日・祝日の出~日没　※夜間照明は4月から10月まで","年末年始","http://shisetsu.nonoichi.e-rev.jp/index.jsp?rd=/inf/infplace.jsp&place=12","野球・投球練習場",""
"119","44","スポーツ施設","武道館","ぶどうかん","野々市市位川183","","076-248-1223","","","36.5251713900","136.6080240000","","1320224528","月~土9:00~21:30
日・祝9:00~17:00","年末年始","","連絡先は市民体育館&lt;br /&gt;柔道・剣道",""
"121","44","スポーツ施設","弓道場","きゅうどうじょう","野々市市太平寺3-126-1","","076-248-1223","","","36.5316306300","136.6042840000","","1320224542","月~土9:00~21:00
日・祝9:00~17:00","年末年始","","連絡先は市民体育館",""
"122","44","スポーツ施設","健康広場","けんこうひろば","野々市市上林1-180","","","","","36.4994839700","136.5986860000","","1303118061","日の出~日没","年末年始","http://shisetsu.nonoichi.e-rev.jp/index.jsp?rd=/inf/infplace.jsp&place=9","ソフトボール・ジュニアサッカー",""
"123","44","スポーツ施設","中央公園テニスコート・運動広場","ちゅうおうこうえんてにすこーど・うんどうひろば","野々市市下林3-97","","076-248-1223","","","36.5252512300","136.5995747000","","1383445162","月~土:日の出~21:00日・祝:日の出~日没※夜間照明は4月から10月まで","年末年始","●中央公園テニスコートhttp://shisetsu.nonoichi.e-rev.jp/index.jsp?rd=/inf/infplace.jsp&place=7●運動広場http://shisetsu.nonoichi.e-rev.jp/index.jsp?rd=/inf/infplace.jsp&place=10","ソフトボール・テニス",""
"124","44","スポーツ施設","押野中央公園運動広場","おしのちゅうおうこうえんうんどうひろば","野々市市押野1-339","","","","","36.5440895200","136.6170624000","","1383445107","日の出~日没","年末年始","http://shisetsu.nonoichi.e-rev.jp/index.jsp?rd=/inf/infplace.jsp&place=11","ソフトボール",""
"125","46","幼稚園","北陸学院短期大学附属扇が丘幼稚園","ほくりくがくいんたんきだいがくぐぞくおおぎがおかようちえん","野々市市本町5丁目6番23号","","076-248-1501","076-248-1919　","","36.5309707800","136.6086537000","http://www.hokurikugakuin.ac.jp/kindergarten/fuzoku.htm","1303170654","","","","",""
"126","46","幼稚園","学校法人青竜幼稚園青竜第二幼稚園","がっこうほうじんせいりゅうようちえんせいりゅうだいにようちえん","野々市市上林3丁目167番地","","076-248-5656　","076-248-7654","","36.5013638400","136.6027255000","http://www.seiryu.ed.jp/","1303170698","","","","",""
"127","47","小学校","野々市小学校","ののいちしょうがっこう","野々市市本町5-3-1","","076-248-0084","076-294-2510","","36.5319906800","136.6092836000","http://education.city.nonoichi.ishikawa.jp/nonoichisyo/","1183949405","","","","",""
"128","47","小学校","御園小学校","みそのしょうがっこう","野々市市稲荷4-128","","076-248-3201","076-294-5463","","36.5377199800","136.6045637000","http://education.city.nonoichi.ishikawa.jp/misonosyo/","1179296985","","","","",""
"129","47","小学校","菅原小学校","すがはらしょうがっこう","野々市市菅原20-1","","076-246-6066","076-294-2512","","36.5254414900","136.6159433000","http://education.city.nonoichi.ishikawa.jp/sugaharasyo/","1179296985","","","","",""
"130","47","小学校","富陽小学校","ふようしょうがっこう","野々市市中林5-70","","076-246-4380","076-294-5449","","36.5131326000","136.6040249000","http://education.city.nonoichi.ishikawa.jp/fuyousyo/","1179296985","","","","",""
"131","47","小学校","館野小学校","たちのしょうがっこう","野々市市押野3-71","","076-248-0622","076-294-2518","","36.5406698900","136.6171825000","http://education.city.nonoichi.ishikawa.jp/tachinosyo/","1179296985","","","","",""
"132","48","中学校","野々市中学校","ののいちちゅうがっこう","野々市市三納3-1","","076-246-0115","076-294-5427","","36.5246814400","136.6084340000","http://education.city.nonoichi.ishikawa.jp/nonoichityu/","1179296985","","","","",""
"133","48","中学校","布水中学校","ふすいちゅうがっこう","野々市市押野2-100","","076-248-0039","076-294-5419","","36.5388899900","136.6124430000","http://education.city.nonoichi.ishikawa.jp/fusuityu/","1179296985","","","","",""
"134","49","高等学校","野々市明倫高校","ののいちめいりんこうこう","野々市市下林3-309","","076-246-3191","076-294-2869","","36.5253412400","136.6009546000","http://www.ishikawa-c.ed.jp/~meirih/","1303170751","","","","",""
"135","49","高等学校","金沢工業高等専門学校","かなざわこうぎょうこうとうせんもんがっこう","金沢市久安2-270　（野々市市高橋町）","","076-248-1080","076-248-5548","","36.5325809600","136.6293319000","http://www.kanazawa-tc.ac.jp/","1303170763","","","","私立の高専（5学年制。金沢工業大学系列）。金沢市と野々市市に渡って敷地を所有。登録住所は金沢市。",""
"136","50","大学","金沢工業大学","かなざわこうぎょうだいがく","野々市市扇が丘7-1","","076-248-1100","076-248-7318","","36.5305811500","136.6276621000","http://www.kanazawa-it.ac.jp/","1182931607","","","","",""
"137","50","大学","石川県立大学","いしかわけんりつだいがく","野々市市末松1-308","","076-227-7220","076-227-7410","","36.5071231200","136.5966558000","http://www.ishikawa-pu.ac.jp/","1303170785","","","","",""
"138","50","大学","放送大学石川学習センター","ほうそうだいがくいしかわがくしゅうせんたー","野々市市扇が丘7-1","","076-246-4029","","","36.5298712500","136.6291520000","http://www.sc.ouj.ac.jp/center/ishikawa/","1179296985","","","","金沢工業大学構内にあります。",""
"140","51","その他の学校","石川県立明和特別支援学校","いしかわけんりつめいわとくべつしえんかっごう","野々市市中林4-70","","076-246-1133","076-294-2879","","36.5151523300","136.6007251000","http://www.ishikawa-c.ed.jp/~meiwas/","1303170807","","","","",""
"141","51","その他の学校","石川障害者職業能力開発校","いしかわしょうがいしゃしょくぎょうのうりょくかいはつこう","野々市市末松2-245","","076-248-2235","076-248-2236","","36.5070930100","136.5902563000","http://www.pref.ishikawa.lg.jp/syonou/","1303170819","","","","",""
"142","52","学校施設","学校給食センター","がっこうきゅうしょくせんたー","野々市市太平寺3-126-1","","076-246-3066","076-246-7667","","36.5314006600","136.6046140000","","1303117809","8:30~17:15 ","土・日・祝・年末年始","","",""
"143","53","歯科","あらもと歯科医院","あらもとしかいいん","野々市市扇が丘10-29","","076-248-6572","","","36.5279814500","136.6288122000","http://www.aramoto-dc.com/","1179296985","","","","診療科目歯科、矯正歯科",""
"144","53","歯科","江尻歯科医院","えじりしかいいん","野々市市稲荷4-149","","076-294-1119","076-294-1119","","36.5366900700","136.6034639000","http://homepage2.nifty.com/ejirishika/","1303114339","9:30~13:00 14:00~18:30（土曜16:30まで）","日曜、祝日、木曜午後","","",""
"146","53","歯科","北川歯科クリニック","きたがわしかくりにっく","野々市市菅原町14-17","","076-248-6691","076-248-6692","","36.5275312800","136.6166832000","http://www.kitagawa-dental.com","1303114376","9:00~12:30 2:30~6:30","日・祝及び水・土の午後","","",""
"147","53","歯科","ぎゃくし歯科医院","ぎゃくししかいいん","野々市市新庄6-408","","076-294-8841","076-294-8840","","36.5082132000","136.6080248000","","1179296985","","","","歯周治療、小児歯科など、喜んでいただけるような治療を目指し頑張っています。",""
"148","53","歯科","こばやし歯科","こばやししか","野々市市堀内5-195","","076-246-4607","076-248-5880","","36.5322304500","136.5977745000","","1303114392","平日：9:00~18:00（土曜：9:00~17:00）　","木曜午後、日曜、祭日","","訪問診療もしています。",""
"149","53","歯科","たまい歯科クリニック","たまいしかくりにっく","野々市市横宮町67-1（ヴィテン内）","","076-294-7113","076-294-7114","","36.5353604500","136.6166128000","http://tamai.dental.ftw.jp/","1303114416","月~金：10:00~13:00 14:30~19:00（土：10:00~13:00）","土午後・日曜・祝日　","","初めての方はお電話にて予約頂けますとスムーズに診療できます。ヴィテン会員でなくても診療致しております。",""
"150","53","歯科","にしぐち歯科医院","にしぐちしかいいん","野々市市若松町22-15","","076-294-3456","076-294-3457","","36.5335606000","136.6144431000","http://www.west-dent.com/","1303114437","月~金：9:00~13:00 14:30~18:30（土：9:00~13:00）","日曜・祝日・土曜午後","","",""
"151","53","歯科","ののいち歯科クリニック","ののいちしかくりにっく","野々市市本町3-9-12","","076-248-3500","076-248-3500","","36.5319608100","136.6166130000","http://www.nonoden.jp/","1303114458","9:30~13:00 14:30~18:30（土：9:30~13:00 14:00~17:00）　","木曜・日曜・祝日","","",""
"152","53","歯科","はせがわ歯科・矯正歯科","はせがわしかきょうせいしか","野々市市押越1-502","","076-246-8855","076-246-8856","","36.5399398700","136.6115030000","","1179296985","","","","",""
"153","53","歯科","平田歯科医院","ひらたしかいいん","野々市市本町6-22-4","","076-248-3788","","","36.5337004800","136.6081636000","http://h-neophile.com/","1179296985","通常は夜７時まで。土曜日は５時まで","木曜日の午後、日祝","","歯周病の治療・予防・管理やフッ素を用いた虫歯予防を中心に診療。",""
"154","53","歯科","ヴィ歯科医院","ぶぃしかいいん","野々市市御経塚1-64","","076-248-1186","076-248-6983","","36.5442991800","136.5990239000","http://v-dentalclinic.com/","1303114487","9:30~13:00 14:30~19:00（土曜は17:00まで）　","木曜・日曜・祝日","","",""
"155","53","歯科","ふじい歯科クリニック","ふじいしかくりにっく","野々市市御経塚2-91（イオン内）","","076-269-8148","076-269-8148","","36.5486287100","136.5983537000","http://www.fujii-sika.com/","1320647453","","","","",""
"156","53","歯科","ふじた歯科クリニック","ふじたしかくりにっく","野々市市下林4-565-2","","076-294-8484","","","36.5231015700","136.6060743000","","1179296985","","","","",""
"157","53","歯科","まいずみ矯正歯科","まいずみきょうせいしか","野々市市稲荷2-51（1F)","","076-294-8211","076-294-8212","","36.5326605000","136.6033541000","http://www.kyousei.com/ortho/main.html","1303114519","水~土：10:00~19:00
日：10:00~18:00","月曜、火曜","","矯正専門クリニック（虫歯治療は行っておりません）小児矯正・成人矯正・外科矯正・予防歯科　",""
"158","53","歯科","真舘歯科医院","まだちしかいいん","野々市市御経塚5-51","","076-246-4273","076-246-1306","","36.5462290200","136.6013536000","","1303114540","9:00~12:30 14:00~19:00（土曜：9:00~12:30 13:00~17:00）","日祭日および木曜日　","","歯科・口腔外科・小児歯科。",""
"159","53","歯科","むらた歯科","むらたしか","野々市市新庄3-131-1","","076-248-9876","076-248-9874","","36.5052536000","136.6126045000","","1303114555","平日：9:00~18:00（土曜：9:00~16:00）。","木曜・日曜・祝日","","診療科目歯科、矯正歯科",""
"160","53","歯科","矢原歯科医院","やはらしかいいん","野々市市本町5-2-15","","076-246-5960","076-246-5961","","36.5315607400","136.6104235000","http://www.yahara-dental.com/","1303114579","月~金：9:00~12:00 15:00~19:00（土：9:00~13:00 14:00~19:00）","","","祝日も診療してます。　予約制（TEL可）。歯周病に真剣に取り組んでいます。外科関係も得意です。",""
"161","53","歯科","山本歯科クリニック","やまもとしかくりにっく","野々市市新庄1-274","","076-248-4100","076-246-1550","","36.5019039300","136.6114948000","http://www.yama-clinic.jp/d-contents.html","1303114604","平日：9:00~12:30、14:00~18:00（土曜：9:00~12:30、13:30~15:00）　","木曜午後・日曜・祝日","","（予約制）歯科、小児歯科、矯正",""
"162","53","歯科","扇が丘歯科医院","おおぎがおかしかいいん","野々市市扇が丘扇が丘19-36 ","","076-248-0418","076-248-0460","","36.5263415300","136.6235427000","","1179296985","","","","保険診療を中心に虫歯予防や歯周病の予防に取り組んでいます。歯石取りは美容院感覚でお越し下さい。",""
"10889","53","歯科","牛村歯科医院","うしむらしかいいん","野々市市稲荷2-2-51","","076-248-2311","","","36.5326312800","136.6033816000","","1383211840","","","","歯科・矯正歯科・小児歯科",""
"10890","53","歯科","かわはら歯科医院","かわはらしかいいん","野々市市藤平田1-466","","076-227-0303","","","36.5171295100","136.6075766000","http://kawaharadc.com/","1383211929","","","","歯科・矯正歯科",""
"10891","53","歯科","松原歯科医院","まつばらしかいいん","野々市市粟田5-92-7","","076-246-7713","","","36.5135683200","136.6097653000","http://www.matsubara-do.com/office.html","1383212023","","","","歯科・矯正歯科・小児歯科",""
"164","54","水道関係施設","東部浄水場","とうぶじょうすいじょう","野々市市高橋町3-33","","","","","36.5325008600","136.6226025000","","1179296985","","","","",""
"165","54","水道関係施設","南部浄水場","なんぶじょうすいじょう","野々市市新庄2-22-1","","","","","36.4975443800","136.6101051000","","1179296985","","","","",""
"189","56","投票所","中央公民館","ちゅうおうこうみんかん","野々市市本町2-1-20","","","","","36.5327207600","136.6184228000","","1303170962","","","","本町1~3丁目、若松町、横宮町",""
"190","56","投票所","菅原小学校","すがはらしょうがっこう","野々市市菅原町20-1","","","","","36.5253215100","136.6159633000","","1303170972","","","","高橋町、扇が丘、住吉町、菅原町",""
"191","56","投票所","野々市小学校","ののいちしょうがっこう","野々市市本町5-3-1","","","","","36.5319243700","136.6097331000","","1303170991","","","","本町4~5丁目、太平寺1~4丁目、白山町",""
"7756","56","投票所","保健センター","ほけんせんたー","野々市市三納3-128","","","","","36.5238115800","136.6108138000","","1303171011","","","","三納1〜3丁目、位川、藤平田1~2丁目、下林1~4丁目、矢作1~4丁目",""
"195","56","投票所","郷公民館","ごうこうみんかん","野々市市田尻町94","","","","","36.5319304500","136.5960247000","","1303171072","","","","堀内1~5丁目、田尻町、三日市町、徳用町、郷町、柳町、蓮花寺町",""
"196","56","投票所","御経塚保育園","おきょうづかほいくえん","野々市市御経塚1-288","","","","","36.5439292100","136.5984339000","","1303171102","","","","二日市町、二日市1丁目、長池、御経塚1~5丁目",""
"197","56","投票所","押野公民館","おしのこうみんかん","野々市市押野3-70","","","","","36.5407598600","136.6164126000","","1303171118","","","","押野1~7丁目",""
"198","56","投票所","女性センター","じょせいせんたー","野々市市稲荷4-155","","","","","36.5366701000","136.6047937000","","1367474268","","","","本町6丁目、稲荷1~4丁目、野代1~3丁目、押越1~2丁目",""
"199","57","都市公園","新庄東公園","しんじょうひがしこうえん","新庄1丁目245","","","","","36.4998241600","136.6117649000","","1179296985","","","","",""
"200","57","都市公園","新庄西公園","しんじょうにしこうえん","新庄2丁目161","","","","","36.5002140800","136.6092451000","","1179296985","","","","",""
"201","57","都市公園","新庄すみれ公園","しんじょうすみれこうえん","新庄3丁目199","","","","","36.5037337100","136.6099848000","","1179296985","","","","",""
"202","57","都市公園","新庄花の木台公園","しんじょうはなのきだいこうえん","新庄4丁目7-1","","","","","36.5061635100","136.6134144000","","1179296985","","","","",""
"203","57","都市公園","新庄ひばり公園","しんじょうひばりこうえん","新庄5丁目101","","","","","36.5072533400","136.6103746000","","1179296985","","","","",""
"204","57","都市公園","新庄1号緑地","しんじょういちごうりょくち","新庄4丁目191","","","","","36.5081432900","136.6128544000","","1303171223","","","","",""
"205","57","都市公園","粟田中央公園","あわだちゅうおうこうえん","粟田1丁目144","","","","","36.5098131100","136.6128543000","","1179296985","","","","",""
"206","57","都市公園","粟田1号緑地","あわだいちごうりょくち","粟田1丁目242-42","","","","","36.5110729400","136.6108144000","","1303171231","","","","",""
"207","57","都市公園","粟田パンダ公園","あわだぱんだこうえん","粟田3丁目83","","","","","36.5148425800","136.6131941000","","1179296985","","","","",""
"208","57","都市公園","粟田2号緑地","あわだにごうりょくち","粟田3丁目149","","","","","36.5161624700","136.6146939000","","1303171243","","","","",""
"209","57","都市公園","粟田東公園","あわだひがしこうえん","粟田3丁目353","","","","","36.5168423900","136.6146938000","","1179296985","","","","",""
"210","57","都市公園","粟田北公園","あわだきたこうえん","粟田3丁目459","","","","","36.5182322500","136.6148238000","","1179296985","","","","",""
"211","57","都市公園","下林1号緑地","しもばやしいちごうりょくち","下林4丁目296","","","","","36.5240514300","136.6039044000","","1303171263","","","","",""
"212","57","都市公園","下林2号緑地","しもばやしにごうりょくち","下林4丁目71","","","","","36.5216916600","136.6022446000","","1303171271","","","","",""
"213","57","都市公園","下林3号緑地","しもばやしさんごうりょくち","下林4丁目7","","","","","36.5214116700","136.6014647000","","1303171281","","","","",""
"214","57","都市公園","藤平田1号緑地","とへいだいちごうりょくち","藤平田2丁目75","","","","","36.5215517500","136.6068243000","","1303171294","","","","",""
"215","57","都市公園","清金公園","きよかねこうえん","清金3丁目124","","","","","36.5199017200","136.5951253000","","1179296985","","","","",""
"216","57","都市公園","白山1号緑地","はくさんいちごうりょくち","白山町16-4","","","","","36.5263113000","136.6100738000","","1303171310","","","","",""
"217","57","都市公園","太平寺東公園","たへいじひがしこうえん","太平寺1丁目311","","","","","36.5264112100","136.6056341000","","1179296986","","","","トイレ有り",""
"218","57","都市公園","太平寺西公園","たへいじにしこうえん","太平寺2丁目219","","","","","36.5277910200","136.6033243000","","1179296986","","","","トイレ有り",""
"219","57","都市公園","太平寺1号緑地","たへいじいちごうりょくち","太平寺3丁目102","","","","","36.5302207700","136.6036241000","","1303171329","","","","",""
"220","57","都市公園","柳町1号緑地","やなぎまちいちごうりょくち","柳町144-2","","","","","36.5270307400","136.5822061000","","1303171338","","","","",""
"221","57","都市公園","扇が丘東公園","おうぎがおかひがしこうえん","扇が丘507","","","","","36.5262216200","136.6279523000","","1179296986","","","","",""
"222","57","都市公園","扇が丘1号緑地","おうぎがおかいちごうりょくち","扇が丘177-17","","","","","36.5266115300","136.6250725000","","1303171351","","","","",""
"223","57","都市公園","扇が丘2号緑地","おうぎがおかにごうりょくち","扇が丘64-2","","","","","36.5253216300","136.6228228000","","1303171359","","","","",""
"224","57","都市公園","徳用南公園","とくもとみなみこうえん","徳用町521","","","","","36.5336301800","136.5907351000","","1179296986","","","","",""
"225","57","都市公園","三日市万葉台南公園","みっかいちまんようだいみなみこうえん","三日市町390-1","","","","","36.5329704000","136.5994544000","","1179296986","","","","",""
"226","57","都市公園","三日市万葉台中公園","みっかいちまんようだいなかこうえん","三日市町290-11","","","","","36.5335103300","136.5989344000","","1179296986","","","","",""
"227","57","都市公園","三日市万葉台北公園","みっかいちまんようだいきたこうえん","三日市町271-10","","","","","36.5348301900","136.5987743000","","1179296986","","","","",""
"228","57","都市公園","押越北公園","おしこしきたこうえん","押越2丁目237","","","","","36.5401898100","136.6096032000","","1179296986","","","","",""
"230","57","都市公園","北横宮公園","きたよこみやこうえん","横宮町30","","","","","36.5346205000","136.6152930000","","1179296986","","","","",""
"231","57","都市公園","あすなろ公園","あすなろこうえん","御経塚5丁目83","","","","","36.5456390900","136.6021536000","","1179296986","","","","",""
"232","57","都市公園","本町若葉台公園","ほんまちわかばだいこうえん","本町1丁目5-53","","","","","36.5369903700","136.6223323000","","1179911518","","","","",""
"233","57","都市公園","本町1丁目1号緑地","ほんまちいっちょうめいちごうりょくち","本町1丁目1-54","","","","","36.5379902500","136.6217823000","","1303171460","","","","",""
"234","57","都市公園","粟田3号緑地","あわたさんごうりょくち","粟田3丁目250","","","","","36.5164924000","136.6127940000","","1303171470","","","","",""
"235","57","都市公園","二日市1号緑地","ふつかいちいちごうりょくち","二日市町560-4","","","","","36.5407296100","136.6014838000","","1303171480","","","","",""
"237","57","都市公園","本町6丁目1号緑地","ほんまちろくちょうめいちごうりょくち","本町6丁目86-4","","","","","36.5340804300","136.6077436000","","1303171503","","","","",""
"238","57","都市公園","下林4号緑地","しもばやしよんごうりょくち","下林4丁目247-1","","","","","36.5215417400","136.6060643000","","1303171512","","","","",""
"239","57","都市公園","野々市中央公園","ののいちちゅうおうこうえん","下林3丁目100","","","","","36.5245212900","136.5987748000","","1179912384","","","","トイレ有り",""
"240","57","都市公園","矢作諏訪公園","やはぎすわこうえん","矢作1丁目177","","","","","36.5209519300","136.6131038000","","1179296986","","","","",""
"241","57","都市公園","矢作西城公園","やはぎにししろこうえん","矢作3丁目35","","","","","36.5239415800","136.6116438000","","1179296986","","","","",""
"242","57","都市公園","下林さくら公園","しもばやしさくらこうえん","下林4丁目508-1","","","","","36.5229215400","136.6031245000","","1179296986","","","","トイレ有り",""
"243","57","都市公園","位川公園","くらいがわこうえん","位川288","","","","","36.5251113600","136.6062242000","","1179296986","","","","",""
"244","57","都市公園","三納公園","さんのうこうえん","三納3丁目130","","","","","36.5241315500","136.6108738000","","1179296986","","","","",""
"245","57","都市公園","末松廃寺跡公園","すえまつはいじあとこうえん","末松2丁目247","","","","","36.5079229100","136.5895763000","","1179296986","","","","トイレ有り",""
"246","57","都市公園","野代公園","のしろこうえん","野代3丁目59","","","","","36.5414695700","136.6037036000","","1179296986","","","","トイレ有り",""
"247","57","都市公園","野代1号緑地","のしろいちごうりょくち","野代1丁目19","","","","","36.5379799400","136.6039738000","","1303171611","","","","",""
"248","57","都市公園","みその公園","みそのこうえん","稲荷4丁目157","","","","","36.5367301000","136.6054037000","","1179296986","","","","",""
"249","57","都市公園","稲荷公園","いなりこうえん","稲荷2丁目104","","","","","36.5341403100","136.6015441000","","1179296986","","","","トイレ有り",""
"250","57","都市公園","稲荷北公園","いなりきたこうえん","稲荷3丁目78","","","","","36.5358601000","136.6000742000","","1179296986","","","","",""
"251","57","都市公園","押越公園","おしこしこうえん","押越1丁目160","","","","","36.5383000000","136.6089233000","","1179296986","","","","トイレ有り",""
"252","57","都市公園","矢作1号緑地","やはぎいちごうりょくち","矢作3丁目56","","","","","36.5244415400","136.6122037000","","1303171637","","","","",""
"253","57","都市公園","矢作2号緑地","やはぎにごうりょくち","矢作3丁目135-5","","","","","36.5258014200","136.6136635000","","1303171646","","","","",""
"254","57","都市公園","御経塚東公園","おきょうづかひがしこうえん","御経塚5丁目84","","","","","36.5458990700","136.6024935000","","1179296986","","","","トイレ有り",""
"255","57","都市公園","押野西公園","おしのにしこうえん","押野1丁目40","","","","","36.5416597000","136.6127029000","","1179296986","","","","トイレ有り",""
"256","57","都市公園","押野東公園","おしのひがしこうえん","押野5丁目120","","","","","36.5442195600","136.6204621000","","1179296986","","","","",""
"257","57","都市公園","押野南公園","おしのみなみこうえん","押野3丁目166","","","","","36.5395500200","136.6181725000","","1179296986","","","","",""
"258","57","都市公園","押野中央公園","おしのちゅうこうこうえん","押野1丁目339","","","","","36.5440095300","136.6170724000","","1179296986","","","","トイレ有り",""
"259","57","都市公園","押野北公園","おしのきたこうえん","押野1丁目50","","","","","36.5441894400","136.6129327000","","1179296986","","","","",""
"260","57","都市公園","徳用1号緑地","とくもといちごうりょくち","徳用町676","","","","","36.5343601500","136.5933248000","","1303171686","","","","",""
"261","57","都市公園","御経塚史跡公園","おきょうづかしせきこうえん","御経塚1丁目549","","","","","36.5464189500","136.5987738000","","1179296986","","","","",""
"262","57","都市公園","住吉1号緑地","すみよしいちごうりょくち","住吉町31-6","","","","","36.5248815800","136.6171933000","","1303171699","","","","",""
"263","57","都市公園","本町やまいろ公園","ほんまちやまいろこうえん","本町6丁目466","","","","","36.5346103400","136.6057238000","","1179296986","","","","",""
"264","57","都市公園","若松ちから石公園","わかまつちからいしこうえん","若松町674","","","","","36.5370602000","136.6127631000","","1179296986","","","","",""
"265","57","都市公園","馬渡公園","まわたりこうえん","押野4丁目329","","","","","36.5397200600","136.6214122000","","1179296986","","","","",""
"266","57","都市公園","せせらぎ公園","せせらぎこうえん","高橋町155-1","","","","","36.5303011500","136.6257923000","","1179296986","","","","",""
"267","57","都市公園","つばき公園","つばきこうえん","本町6丁目462","","","","","36.5346903400","136.6065537000","","1179296986","","","","",""
"268","57","都市公園","堀の内公園","ほりのうちこうえん","堀内2丁目179","","","","","36.5288208300","136.5983646000","","1179296986","","","","トイレ有り",""
"270","57","都市公園","新庄3号緑地","しんじょうさんごうりょくち","新庄2丁目239-14","","","","","36.5010640100","136.6108549000","","1303171740","","","","",""
"271","57","都市公園","たかはし公園","たかはしこうえん","高橋町401","","","","","36.5326109100","136.6265721000","","1179296986","","","","",""
"272","57","都市公園","すみよし公園","すみよしこうえん","住吉町297-1","","","","","36.5271014100","136.6213228000","","1179296986","","","","",""
"273","57","都市公園","中林太陽公園","なかばやしたいようこうえん","中林1丁目395","","","","","36.5088731100","136.6071248000","","1303171762","","","","",""
"274","57","都市公園","下林5号緑地","しもばやしごごうりょくち","下林4丁目119-5","","","","","36.5213917100","136.6032146000","","1303171771","","","","",""
"275","57","都市公園","かわいぐち公園","かわいぐちこうえん","白山町449","","","","","36.5291010400","136.6123435000","","1179296986","","","","",""
"276","57","都市公園","ろくらぐち公園","ろくらぐちこうえん","白山町450","","","","","36.5274412000","136.6114336000","","1179296986","","","","",""
"277","57","都市公園","野々市南部公園","ののいちなんぶこうえん","上林4丁目665","","","","","36.5035636400","136.6050752000","","1179296986","","","","トイレ有り",""
"278","57","都市公園","長池公園（陽の広場）","ながいけこうえん（ひのひろば）","長池294","","","","","36.5419493600","136.5948243000","","1179296986","","","","",""
"279","57","都市公園","菅原1号緑地","すがはらいちごうりょくち","菅原町11-54","","","","","36.5292810800","136.6155732000","","1303171803","","","","",""
"280","57","都市公園","御経塚あやめ公園（木の広場）","おきょうづかあやめこうえん（きのひろば）","御経塚3丁目520","","","","","36.5525582400","136.5958038000","","1179296986","","","","",""
"281","57","都市公園","本町1丁目2号緑地","ほんまちいっちょうめにごうりょくち","本町1丁目147","","","","","36.5346305700","136.6191326000","","1303171821","","","","",""
"282","57","都市公園","野々市駅北口緑地（石の広場）","ののいちえききたぐちりょくち（いしのひろば）","二日市1丁目123","","","","","36.5426093500","136.5983840000","","1303171832","","","","",""
"283","57","都市公園","御経塚公園（風の広場）","おきょうづかこうえん（かぜのひろば）","御経塚1丁目550","","","","","36.5445191100","136.5963741000","","1179296986","","","","",""
"284","57","都市公園","経塚公園（泉の広場）","きょうづかこうえん（いずみのひろば）","御経塚2丁目334","","","","","36.5482687100","136.5964239000","","1179296986","","","","",""
"285","57","都市公園","木呂川１号緑地","ころがわいちごうりょくち","新庄2丁目820","","","","","36.4990541700","136.6076052000","","1179296986","","","","",""
"286","57","都市公園","木呂川2号緑地","ころがわにごうりょくち","新庄6丁目443","","","","","36.5082132200","136.6092347000","","1303171879","","","","",""
"287","57","都市公園","扇が丘ホタルの里公園","おうぎがおかほたるのさとこうえん","扇が丘747","","","","","36.5248117000","136.6240527000","","1179296986","","","","",""
"288","57","都市公園","本町北公園","ほんまちきたこうえん","本町1丁目4-102","","","","","36.5382002700","136.6238521000","","1303171895","","","","",""
"289","57","都市公園","末松ふれあい公園","すえまつふれあいこうえん","末松2丁目1039","","","","","36.5030734800","136.5923963000","","1179296986","","","","",""
"290","57","都市公園","末松1号緑地","すえまついちごうりょくち","末松2丁目870","","","","","36.5053932100","136.5912463000","","1303171913","","","","",""
"291","57","都市公園","矢作3号緑地","やはぎさんごうりょくち","矢作2丁目5-35","","","","","36.5188921100","136.6112340000","","1303171959","","","","",""
"292","57","都市公園","下林6号緑地","しもばやしろくごうりょくち","下林4丁目182","","","","","36.5218016900","136.6047444000","","1303171969","","","","",""
"293","57","都市公園","馬場川1号緑地","ばばがわいちごうりょくち","御経塚3丁目521","","","","","36.5506484500","136.5962038000","","1303171975","","","","",""
"294","57","都市公園","馬場川2号緑地","ばばがわにごうりょくち","御経塚1丁目551","","","","","36.5451690400","136.5965040000","","1303171985","","","","",""
"295","57","都市公園","末松2号緑地","すえまつにごうりょくち","末松2丁目1042","","","","","36.5034134600","136.5936962000","","1303171993","","","","",""
"296","57","都市公園","粟田4号緑地","あわだよんごうりょくち","粟田2丁目177-3","","","","","36.5121928300","136.6111043000","","1303172000","","","","",""
"297","57","都市公園","本町6丁目2号緑地","ほんまちろくちょうめにごうりょくち","本町6丁目110-48","","","","","36.5374400600","136.6071835000","","1303172010","","","","",""
"298","57","都市公園","扇が丘3号緑地","おうぎがおかさんごうりょくち","扇が丘911","","","","","36.5244717900","136.6269925000","","1303172018","","","","",""
"299","57","都市公園","扇が丘4号緑地","おうぎがおかよんごうりょくち","扇が丘828","","","","","36.5253716900","136.6264325000","","1303172053","","","","",""
"300","57","都市公園","扇が丘5号緑地","おうぎがおかごごうりょくち","扇が丘720","","","","","36.5256316000","136.6233227000","","1303172060","","","","",""
